timestamp,timestamp_sample,xyz[0],xyz[1],xyz[2],xyz_derivative[0],xyz_derivative[1],xyz_derivative[2]
56916000,0,-0.00088704407,-0.00049093954,-0.0004518947,0.0,0.0,0.0
56928000,0,-0.0011749114,-0.0003507462,-0.0004696669,0.0,0.0,0.0
56936000,0,-0.0011587838,-0.00042282132,-0.00049429096,0.0,0.0,0.0
56948000,0,-0.0020918886,-0.0007024191,-0.00050902454,0.0,0.0,0.0
56956000,0,-0.0029059495,-0.00071851036,-0.0005021906,0.0,0.0,0.0
56968000,0,-0.0035029768,-0.0010137537,-0.0005536099,0.0,0.0,0.0
56976000,0,-0.003735301,-0.0011690634,-0.00066085486,0.0,0.0,0.0
56988000,0,-0.0039116824,-0.001461293,-0.0007597025,0.0,0.0,0.0
56996000,0,-0.0037117056,-0.0014337525,-0.00080868654,0.0,0.0,0.0
57008000,0,-0.003047288,-0.0013557858,-0.0008361355,0.0,0.0,0.0
57016000,0,-0.002705962,-0.0015472904,-0.0008719931,0.0,0.0,0.0
57028000,0,-0.0027819357,-0.0014282827,-0.00090651965,0.0,0.0,0.0
57036000,0,-0.0029411768,-0.0014217935,-0.0009023327,0.0,0.0,0.0
57048000,0,-0.0031694798,-0.00077804434,-0.00089080905,0.0,0.0,0.0
57056000,0,-0.0034481373,-0.00027004743,-0.00087438384,0.0,0.0,0.0
57068000,0,-0.0035038383,0.0003650483,-0.00084463897,0.0,0.0,0.0
57076000,0,-0.003551533,0.00055225217,-0.00082005054,0.0,0.0,0.0
57088000,0,-0.0034170842,0.0011708958,-0.0007698935,0.0,0.0,0.0
57096000,0,-0.0028905296,0.0013657004,-0.0007462446,0.0,0.0,0.0
57108000,0,-0.0017522646,0.0015569689,-0.0007497946,0.0,0.0,0.0
57116000,0,-0.0008577375,0.0012932637,-0.00073594827,0.0,0.0,0.0
57128000,0,-2.2811879e-05,0.0012031837,-0.00068001315,0.0,0.0,0.0
57136000,0,0.00017806554,0.0012590206,-0.00066634483,0.0,0.0,0.0
57148000,0,0.0006143687,0.0018046885,-0.0006375849,0.0,0.0,0.0
57156000,0,0.001107,0.0022046089,-0.000640121,0.0,0.0,0.0
57168000,0,0.0009980957,0.0026250416,-0.0006916977,0.0,0.0,0.0
57176000,0,0.0009818771,0.002563772,-0.0006880702,0.0,0.0,0.0
57188000,0,0.0012675629,0.0031894166,-0.00066609733,0.0,0.0,0.0
57196000,0,0.0011249972,0.0035068637,-0.0006959151,0.0,0.0,0.0
57208000,0,0.00061936176,0.0036637122,-0.0007841585,0.0,0.0,0.0
57216000,0,-0.00017638599,0.0035362116,-0.0008426116,0.0,0.0,0.0
57228000,0,-0.0010108365,0.0033771445,-0.0008590902,0.0,0.0,0.0
57236000,0,-0.0012453579,0.0034450109,-0.0008619176,0.0,0.0,0.0
57248000,0,-0.0011597216,0.0035533402,-0.00086490647,0.0,0.0,0.0
57256000,0,-0.00049550267,0.0038045691,-0.000890254,0.0,0.0,0.0
57268000,0,2.5558454e-06,0.0042671403,-0.00089071575,0.0,0.0,0.0
57276000,0,-9.327758e-05,0.0045747645,-0.0008962926,0.0,0.0,0.0
57288000,0,-0.0003916232,0.004773052,-0.00092853315,0.0,0.0,0.0
57296000,0,-0.00031134032,0.004677825,-0.0009832084,0.0,0.0,0.0
