timestamp,timestamp_sample,time_last_fuse,device_id,observation,observation_variance,innovation,innovation_variance,test_ratio,estimator_instance,fusion_enabled,innovation_rejected,fused
77008000,76890000,76928000,0,-1.9478455,1.0,-0.028896332,1.1011163,3.033278e-05,0,1,0,1
77408000,77286000,77328000,0,-1.954834,1.0,-0.021573544,1.1032351,1.6874654e-05,0,1,0,1
77808000,77686000,77728000,0,-1.9598389,1.0,-0.014678955,1.1059548,7.793148e-06,0,1,0,1
78208000,78090000,78128000,0,-1.9688416,1.0,-0.0059839487,1.1074976,1.2932811e-06,0,1,0,1
78608000,78490000,78528000,0,-1.9788208,1.0,6.6280365e-05,1.1087457,1.5848853e-10,0,1,0,1
79008000,78890000,78928000,0,-1.9888306,1.0,-0.0002975464,1.1107078,3.188376e-09,0,1,0,1
79408000,79290000,79328000,0,-1.9938354,1.0,-0.009279728,1.1114556,3.09912e-06,0,1,0,1
79808000,79690000,79728000,0,-2.0158386,1.0,0.010026693,1.1119846,3.6164017e-06,0,1,0,1
80208000,80090000,80128000,0,-2.0388184,1.0,0.031435013,1.1133604,3.550189e-05,0,1,0,1
80608000,80490000,80528000,0,-2.0358276,1.0,0.022783041,1.1135521,1.8645447e-05,0,1,0,1
81008000,80890000,80928000,0,-2.0308228,1.0,0.014779091,1.1136115,7.8455205e-06,0,1,0,1
81408000,81290000,81328000,0,-2.0498352,1.0,0.0331738,1.1146209,3.9493283e-05,0,1,0,1
81808000,81690000,81728000,0,-2.0628357,1.0,0.043797493,1.1144903,6.884656e-05,0,1,0,1
82208000,82090000,82128000,0,-2.0648193,1.0,0.03167057,1.1142925,3.6005804e-05,0,1,0,1
82608000,82486000,82528000,0,-2.078827,1.0,0.04153943,1.11511,6.189611e-05,0,1,0,1
83008000,82890000,82928000,0,-2.0848389,1.0,0.051358223,1.1148229,9.4639865e-05,0,1,0,1
83408000,83290000,83328000,0,-2.0828247,1.0,0.05312538,1.1145082,0.000101293335,0,1,0,1
83808000,83690000,83728000,0,-2.079834,1.0,0.04617691,1.1152436,7.647862e-05,0,1,0,1
84208000,84090000,84128000,0,-2.0938416,1.0,0.062476635,1.1149327,0.00014003823,0,1,0,1
84608000,84490000,84528000,0,-2.0838318,1.0,0.05261898,1.1146126,9.936213e-05,0,1,0,1
84808000,84690000,84728000,0,-2.0898438,1.0,0.051486254,1.1072197,9.5765434e-05,0,1,0,1
85208000,85090000,85128000,0,-2.105835,1.0,0.062372208,1.1081814,0.00014042077,0,1,0,1
85408000,85290000,85328000,0,-2.111847,1.0,0.06061554,1.10208,0.00013335669,0,1,0,1
85808000,85690000,85728000,0,-2.1088257,1.0,0.057163477,1.1038449,0.00011841022,0,1,0,1
86008000,85890000,85928000,0,-2.111847,1.0,0.062933445,1.0985718,0.00014420973,0,1,0,1
86408000,86286000,86328000,0,-2.120819,1.0,0.08065605,1.1008992,0.00023636673,0,1,0,1
86808000,86690000,86728000,0,-2.1148376,1.0,0.06675601,1.103009,0.00016160758,0,1,0,1
87208000,87090000,87128000,0,-2.1168213,1.0,0.063593626,1.10484,0.00014641574,0,1,0,1
87608000,87486000,87528000,0,-2.1308289,1.0,0.08278561,1.1073198,0.0002475692,0,1,0,1
88008000,87886000,87928000,0,-2.1308289,1.0,0.08147454,1.1086216,0.00023950828,0,1,0,1
88408000,88290000,88328000,0,-2.1418457,1.0,0.088362455,1.1096535,0.00028145447,0,1,0,1
88808000,88690000,88728000,0,-2.1458435,1.0,0.09452796,1.1114458,0.00032158243,0,1,0,1
89008000,88890000,88928000,0,-2.1478271,1.0,0.084667206,1.103915,0.00025974956,0,1,0,1
89408000,89290000,89328000,0,-2.1458435,1.0,0.080132484,1.1064315,0.00023214144,0,1,0,1
89808000,89686000,89728000,0,-2.131836,1.0,0.06889844,1.1077931,0.00017140366,0,1,0,1
90008000,89890000,89928000,0,-2.131836,1.0,0.06796169,1.1018239,0.00016767804,0,1,0,1
90408000,90290000,90328000,0,-2.125824,1.0,0.069839716,1.1038238,0.00017675234,0,1,0,1
90808000,90690000,90728000,0,-2.1348267,1.0,0.08544755,1.105557,0.00026416674,0,1,0,1
91208000,91090000,91128000,0,-2.1288452,1.0,0.078285694,1.1079452,0.00022126184,0,1,0,1
91608000,91490000,91528000,0,-2.1178284,1.0,0.08135438,1.1091477,0.00023868906,0,1,0,1
92008000,91886000,91928000,0,-2.106842,1.0,0.07737994,1.1100912,0.00021575362,0,1,0,1
92408000,92290000,92328000,0,-2.111847,1.0,0.0835824,1.1118044,0.00025133984,0,1,0,1
92808000,92690000,92728000,0,-2.1028442,1.0,0.08046794,1.112349,0.0002328438,0,1,0,1
93008000,92890000,92928000,0,-2.094818,1.0,0.072651625,1.104615,0.0001911348,0,1,0,1
93408000,93290000,93328000,0,-2.0888367,1.0,0.066286564,1.1069794,0.00015877112,0,1,0,1
93808000,93690000,93728000,0,-2.0698242,1.0,0.05064988,1.1082015,9.2597256e-05,0,1,0,1
94208000,94086000,94128000,0,-2.073822,1.0,0.067319155,1.1091881,0.00016343013,0,1,0,1
94408000,94290000,94328000,0,-2.0688477,1.0,0.05734229,1.1029156,0.00011925258,0,1,0,1
94808000,94690000,94728000,0,-2.0668335,1.0,0.060283184,1.1046592,0.00013159035,0,1,0,1
95008000,94890000,94928000,0,-2.0488281,1.0,0.035164356,1.0992444,4.4995708e-05,0,1,0,1
95408000,95286000,95328000,0,-2.0418396,1.0,0.030322075,1.1015171,3.3387707e-05,0,1,0,1
95608000,95490000,95528000,0,-2.0398254,1.0,0.029162645,1.0966818,3.1019386e-05,0,1,0,1
