timestamp,timestamp_sample,time_last_fuse,device_id,observation[0],observation[1],observation[2],observation_variance[0],observation_variance[1],observation_variance[2],innovation[0],innovation[1],innovation[2],innovation_variance[0],innovation_variance[1],innovation_variance[2],test_ratio[0],test_ratio[1],test_ratio[2],estimator_instance,fusion_enabled,innovation_rejected,fused
28608000,28490000,28528000,0,0.0,0.0,0.0,0.09,0.09,0.20250002,-0.036081202,-0.040150862,0.07121273,0.10602496,0.10602693,0.21658336,0.0004911497,0.000608182,0.0009365915,0,1,0,1
29008000,28890000,28928000,0,0.0,0.0,0.01,0.09,0.09,0.20250002,-0.03596741,-0.042790115,0.06802282,0.10628827,0.1062898,0.21675323,0.00048684754,0.0006890573,0.0008538933,0,1,0,1
29408000,29290000,29328000,0,0.01,0.01,-0.02,0.09,0.09,0.20250002,-0.04365029,-0.052509926,0.10039736,0.10646555,0.10646531,0.21686655,0.0007158552,0.0010359401,0.0018591398,0,1,0,1
29808000,29686000,29728000,0,-0.01,0.0,0.0,0.09,0.09,0.20250002,-0.018808017,-0.042238165,0.0806314,0.106572255,0.10657018,0.21701194,0.00013277057,0.0006696292,0.0011983529,0,1,0,1
30208000,30090000,30128000,0,0.01,0.0,0.0,0.09,0.09,0.20250002,-0.037705593,-0.044622358,0.080209635,0.10662698,0.10662327,0.21704803,0.0005333404,0.000746987,0.001185652,0,1,0,1
30608000,30490000,30528000,0,0.0,-0.02,-0.02,0.09,0.09,0.20250002,-0.01793765,-0.025107894,0.099916816,0.10664611,0.106636964,0.21705945,0.000120683006,0.00023646824,0.0018397486,0,1,0,1
31008000,30890000,30928000,0,-0.01,0.0,0.0,0.09,0.09,0.20250002,-0.0049966676,-0.0472407,0.07842307,0.10663649,0.10662425,0.21705614,9.365157e-06,0.00083721435,0.0011333801,0,1,0,1
31408000,31290000,31328000,0,0.0,0.0,0.049999997,0.09,0.09,0.20250002,-0.0109620355,-0.047678035,0.029210083,0.106611855,0.10659532,0.21712032,4.5085504e-05,0.0008530186,0.00015719006,0,1,0,1
31808000,31690000,31728000,0,0.0,0.0,0.0,0.09,0.09,0.20250002,-0.005704856,-0.04722775,0.08144159,0.10657895,0.106557965,0.21709701,1.2214564e-05,0.000837276,0.0012220771,0,1,0,1
32208000,32090000,32128000,0,0.01,-0.03,-0.02,0.09,0.09,0.20250002,-0.011199422,-0.017333193,0.1003861,0.10654012,0.106515184,0.21706879,4.7091016e-05,0.000112825066,0.0018569907,0,1,0,1
