timestamp,data_rate,rate_multiplier,tx_rate_avg,tx_error_rate_avg,tx_message_count,tx_buffer_overruns,rx_rate_avg,rx_message_count,rx_message_lost_count,rx_buffer_overruns,rx_parse_errors,rx_packet_drop_count,rx_message_lost_rate,type,mode,flow_control,forwarding,mavlink_v2,ftp,streams,heartbeat_type_antenna_tracker,heartbeat_type_gcs,heartbeat_type_onboard_controller,heartbeat_type_gimbal,heartbeat_type_adsb,heartbeat_type_camera,heartbeat_type_parachute,heartbeat_type_open_drone_id,heartbeat_component_telemetry_radio,heartbeat_component_log,heartbeat_component_osd,heartbeat_component_obstacle_avoidance,heartbeat_component_vio,heartbeat_component_pairing_manager,heartbeat_component_udp_bridge,heartbeat_component_uart_bridge,avoidance_system_healthy,open_drone_id_system_healthy,parachute_system_healthy
60448000,4000000.0,1.0,25723.107,0.0,25784,0,1829.6813,2085,0,0,0,0,0.0,0,2,0,1,1,1,60,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
61448000,4000000.0,1.0,25650.398,0.0,26218,0,1854.5818,2127,0,0,0,0,0.0,0,2,0,1,1,1,60,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
62448000,4000000.0,1.0,25449.203,0.0,26654,0,1829.6813,2169,0,0,0,0,0.0,0,2,0,1,1,1,60,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
63448000,4000000.0,1.0,25592.63,0.0,27089,0,1829.6813,2211,0,0,0,0,0.0,0,2,0,1,1,1,60,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
64448000,4000000.0,1.0,25500.0,0.0,27525,0,1829.6813,2253,0,0,0,0,0.0,0,2,0,1,1,1,60,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
65448000,4000000.0,1.0,25909.363,0.0,27959,0,1829.6813,2295,0,0,0,0,0.0,0,2,0,1,1,1,60,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
66448000,4000000.0,1.0,25532.87,0.0,28396,0,1829.6813,2337,0,0,0,0,0.0,0,2,0,1,1,1,60,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
67448000,4000000.0,1.0,25570.719,0.0,28830,0,1829.6813,2379,0,0,0,0,0.0,0,2,0,1,1,1,60,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
68448000,4000000.0,1.0,25491.037,0.0,29266,0,1829.6813,2421,0,0,0,0,0.0,0,2,0,1,1,1,60,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
69448000,4000000.0,1.0,25622.51,0.0,29700,0,1854.5818,2463,0,0,0,0,0.0,0,2,0,1,1,1,60,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
70448000,4000000.0,1.0,25537.85,0.0,30137,0,1894.4224,2505,0,0,0,0,0.0,0,2,0,1,1,1,60,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
71448000,4000000.0,1.0,25639.443,0.0,30571,0,1829.6813,2547,0,0,0,0,0.0,0,2,0,1,1,1,60,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
72448000,4000000.0,1.0,25451.195,0.0,31007,0,1829.6813,2589,0,0,0,0,0.0,0,2,0,1,1,1,60,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
73448000,4000000.0,1.0,25891.436,0.0,31442,0,1829.6813,2631,0,0,0,0,0.0,0,2,0,1,1,1,60,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
74448000,4000000.0,1.0,25488.049,0.0,31879,0,1829.6813,2673,0,0,0,0,0.0,0,2,0,1,1,1,60,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
75448000,4000000.0,1.0,25738.049,0.0,32313,0,1829.6813,2715,0,0,0,0,0.0,0,2,0,1,1,1,60,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
76448000,4000000.0,1.0,25492.033,0.0,32751,0,1829.6813,2757,0,0,0,0,0.0,0,2,0,1,1,1,60,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
77448000,4000000.0,1.0,25608.566,0.0,33185,0,1829.6813,2799,0,0,0,0,0.0,0,2,0,1,1,1,60,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
78448000,4000000.0,1.0,25489.045,0.0,33621,0,1829.6813,2841,0,0,0,0,0.0,0,2,0,1,1,1,60,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
79448000,4000000.0,1.0,25607.57,0.0,34056,0,1829.6813,2883,0,0,0,0,0.0,0,2,0,1,1,1,60,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
80448000,4000000.0,1.0,25534.861,0.0,34492,0,1829.6813,2925,0,0,0,0,0.0,0,2,0,1,1,1,60,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
81448000,4000000.0,1.0,26106.574,0.0,34926,0,1829.6813,2967,0,0,0,0,0.0,0,2,0,1,1,1,60,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
82448000,4000000.0,1.0,25462.152,0.0,35363,0,1829.6813,3009,0,0,0,0,0.0,0,2,0,1,1,1,60,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
83448000,4000000.0,1.0,25594.623,0.0,35797,0,1894.4224,3051,0,0,0,0,0.0,0,2,0,1,1,1,60,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
84448000,4000000.0,1.0,25489.045,0.0,36233,0,1829.6813,3093,0,0,0,0,0.0,0,2,0,1,1,1,60,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
85448000,4000000.0,1.0,26248.008,0.0,36669,0,1829.6813,3135,0,0,0,0,0.0,0,2,0,1,1,1,60,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
86448000,4000000.0,1.0,25692.232,0.0,37106,0,1854.5818,3177,0,0,0,0,0.0,0,2,0,1,1,1,60,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
87448000,4000000.0,1.0,25452.191,0.0,37539,0,1829.6813,3219,0,0,0,0,0.0,0,2,0,1,1,1,60,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
88448000,4000000.0,1.0,25608.566,0.0,37977,0,1829.6813,3261,0,0,0,0,0.0,0,2,0,1,1,1,60,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
89448000,4000000.0,1.0,25773.904,0.0,38411,0,1829.6813,3303,0,0,0,0,0.0,0,2,0,1,1,1,60,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
90448000,4000000.0,1.0,25686.256,0.0,38848,0,1829.6813,3345,0,0,0,0,0.0,0,2,0,1,1,1,60,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
91444000,4000000.0,1.0,25546.814,0.0,39282,0,1829.6813,3387,0,0,0,0,0.0,0,2,0,1,1,1,60,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
92444000,4000000.0,1.0,25557.77,0.0,39719,0,1829.6813,3429,0,0,0,0,0.0,0,2,0,1,1,1,60,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
