timestamp,timestamp_sample,time_last_fuse,device_id,observation[0],observation[1],observation_variance[0],observation_variance[1],innovation[0],innovation[1],innovation_variance[0],innovation_variance[1],test_ratio[0],test_ratio[1],estimator_instance,fusion_enabled,innovation_rejected,fused
52408000,52286000,52328000,0,0.055597465,-0.02258052,1.0,1.0,-0.016776793,-0.010023404,1.1154246,1.1154962,1.0093404e-05,3.6026527e-06,0,1,0,1
52608000,52490000,52528000,0,0.04447797,-0.02258052,1.0,1.0,-0.0026545227,-0.00803655,1.1068362,1.1068912,2.5465343e-07,2.333965e-06,0,1,0,1
53008000,52890000,52928000,0,0.04447797,-0.02258052,1.0,1.0,-0.0051954947,0.0011896975,1.1096798,1.1097277,9.730074e-07,5.1017206e-08,0,1,0,1
53408000,53286000,53328000,0,0.033358477,-0.02258052,1.0,1.0,-0.002642423,0.0063270666,1.1122663,1.1123068,2.511053e-07,1.4395946e-06,0,1,0,1
53808000,53690000,53728000,0,0.022238985,-0.01505368,1.0,1.0,0.0038820729,0.008416506,1.1145794,1.1146132,5.408494e-07,2.5421405e-06,0,1,0,1
54008000,53890000,53928000,0,0.011119492,-0.02258052,1.0,1.0,0.013346322,0.013235986,1.1061958,1.1062227,6.4409683e-06,6.334758e-06,0,1,0,1
54408000,54290000,54328000,0,0.011119492,-0.03010736,1.0,1.0,0.0018583769,0.020114534,1.109096,1.1091183,1.245542e-07,1.4591571e-05,0,1,0,1
54808000,54686000,54728000,0,0.0,-0.02258052,1.0,1.0,0.01123507,0.011453927,1.1117606,1.111778,4.54151e-06,4.7200942e-06,0,1,0,1
55008000,54890000,54928000,0,0.0,-0.02258052,1.0,1.0,0.008316426,0.009855807,1.1039953,1.1040096,2.505914e-06,3.5194232e-06,0,1,0,1
55408000,55290000,55328000,0,0.0,-0.03010736,1.0,1.0,0.0064260606,0.01482662,1.1071479,1.1071588,1.4919146e-06,7.942082e-06,0,1,0,1
55808000,55690000,55728000,0,0.0,-0.0376342,1.0,1.0,0.005674082,0.025291417,1.1100839,1.1100917,1.1600999e-06,2.3048753e-05,0,1,0,1
56208000,56090000,56128000,0,0.0,-0.0376342,1.0,1.0,0.010949639,0.020643692,1.1127647,1.11277,4.309791e-06,1.5318963e-05,0,1,0,1
56608000,56490000,56528000,0,3.5366154e-10,-0.05268788,1.0,1.0,0.012310895,0.028060613,1.1151679,1.1151708,5.436245e-06,2.8243136e-05,0,1,0,1
57008000,56890000,56928000,0,0.011119492,-0.04516104,1.0,1.0,0.001853249,0.016383331,1.1172882,1.1172898,1.2295956e-07,9.609451e-06,0,1,0,1
57408000,57290000,57328000,0,0.0,-0.0376342,1.0,1.0,0.011839408,0.012592161,1.1191331,1.119134,5.0100057e-06,5.6673293e-06,0,1,0,1
57808000,57690000,57728000,0,0.011119492,-0.03010736,1.0,1.0,-0.008130096,0.005336849,1.1207178,1.1207185,2.3591474e-06,1.0165606e-06,0,1,0,1
58208000,58090000,58128000,0,0.011119492,-0.02258052,1.0,1.0,-0.0039792117,0.008959142,1.1220642,1.1220651,5.644642e-07,2.861375e-06,0,1,0,1
