timestamp,timestamp_sample,position_drift_rate_horizontal_m_s,position_drift_rate_vertical_m_s,filtered_horizontal_speed_m_s,checks_passed,check_fail_gps_fix,check_fail_min_sat_count,check_fail_max_pdop,check_fail_max_horz_err,check_fail_max_vert_err,check_fail_max_spd_err,check_fail_max_horz_drift,check_fail_max_vert_drift,check_fail_max_horz_spd_err,check_fail_max_vert_spd_err
54408000,54290000,nan,nan,nan,1,0,0,0,0,0,0,0,0,0,0
54808000,54686000,nan,nan,nan,1,0,0,0,0,0,0,0,0,0,0
55008000,54890000,nan,nan,nan,1,0,0,0,0,0,0,0,0,0,0
55408000,55290000,nan,nan,nan,1,0,0,0,0,0,0,0,0,0,0
55808000,55690000,nan,nan,nan,1,0,0,0,0,0,0,0,0,0,0
56208000,56090000,nan,nan,nan,1,0,0,0,0,0,0,0,0,0,0
56608000,56490000,nan,nan,nan,1,0,0,0,0,0,0,0,0,0,0
57008000,56890000,nan,nan,nan,1,0,0,0,0,0,0,0,0,0,0
57408000,57290000,nan,nan,nan,1,0,0,0,0,0,0,0,0,0,0
57808000,57690000,nan,nan,nan,1,0,0,0,0,0,0,0,0,0,0
58208000,58090000,nan,nan,nan,1,0,0,0,0,0,0,0,0,0,0
58408000,58290000,nan,nan,nan,1,0,0,0,0,0,0,0,0,0,0
58808000,58686000,nan,nan,nan,1,0,0,0,0,0,0,0,0,0,0
59208000,59086000,nan,nan,nan,1,0,0,0,0,0,0,0,0,0,0
59608000,59486000,nan,nan,nan,1,0,0,0,0,0,0,0,0,0,0
60008000,59886000,nan,nan,nan,1,0,0,0,0,0,0,0,0,0,0
60208000,60090000,nan,nan,nan,1,0,0,0,0,0,0,0,0,0,0
60608000,60490000,nan,nan,nan,1,0,0,0,0,0,0,0,0,0,0
61008000,60890000,nan,nan,nan,1,0,0,0,0,0,0,0,0,0,0
61408000,61290000,nan,nan,nan,1,0,0,0,0,0,0,0,0,0,0
61808000,61690000,nan,nan,nan,1,0,0,0,0,0,0,0,0,0,0
62208000,62086000,nan,nan,nan,1,0,0,0,0,0,0,0,0,0,0
62608000,62486000,nan,nan,nan,1,0,0,0,0,0,0,0,0,0,0
63008000,62886000,nan,nan,nan,1,0,0,0,0,0,0,0,0,0,0
63408000,63286000,nan,nan,nan,1,0,0,0,0,0,0,0,0,0,0
63808000,63690000,nan,nan,nan,1,0,0,0,0,0,0,0,0,0,0
64208000,64086000,nan,nan,nan,1,0,0,0,0,0,0,0,0,0,0
64608000,64490000,nan,nan,nan,1,0,0,0,0,0,0,0,0,0,0
65008000,64890000,nan,nan,nan,1,0,0,0,0,0,0,0,0,0,0
65408000,65286000,nan,nan,nan,1,0,0,0,0,0,0,0,0,0,0
65808000,65686000,nan,nan,nan,1,0,0,0,0,0,0,0,0,0,0
66208000,66090000,nan,nan,nan,1,0,0,0,0,0,0,0,0,0,0
66608000,66490000,nan,nan,nan,1,0,0,0,0,0,0,0,0,0,0
67008000,66890000,nan,nan,nan,1,0,0,0,0,0,0,0,0,0,0
67408000,67290000,nan,nan,nan,1,0,0,0,0,0,0,0,0,0,0
67808000,67690000,nan,nan,nan,1,0,0,0,0,0,0,0,0,0,0
68208000,68086000,nan,nan,nan,1,0,0,0,0,0,0,0,0,0,0
68608000,68490000,nan,nan,nan,1,0,0,0,0,0,0,0,0,0,0
69008000,68890000,nan,nan,nan,1,0,0,0,0,0,0,0,0,0,0
69408000,69290000,nan,nan,nan,1,0,0,0,0,0,0,0,0,0,0
69808000,69690000,nan,nan,nan,1,0,0,0,0,0,0,0,0,0,0
70208000,70086000,nan,nan,nan,1,0,0,0,0,0,0,0,0,0,0
70608000,70486000,nan,nan,nan,1,0,0,0,0,0,0,0,0,0,0
71008000,70890000,nan,nan,nan,1,0,0,0,0,0,0,0,0,0,0
71408000,71290000,nan,nan,nan,1,0,0,0,0,0,0,0,0,0,0
71808000,71690000,nan,nan,nan,1,0,0,0,0,0,0,0,0,0,0
72208000,72090000,nan,nan,nan,1,0,0,0,0,0,0,0,0,0,0
72608000,72486000,nan,nan,nan,1,0,0,0,0,0,0,0,0,0,0
73008000,72890000,nan,nan,nan,1,0,0,0,0,0,0,0,0,0,0
73408000,73290000,nan,nan,nan,1,0,0,0,0,0,0,0,0,0,0
73808000,73690000,nan,nan,nan,1,0,0,0,0,0,0,0,0,0,0
74008000,73890000,nan,nan,nan,1,0,0,0,0,0,0,0,0,0,0
74408000,74290000,nan,nan,nan,1,0,0,0,0,0,0,0,0,0,0
74608000,74490000,nan,nan,nan,1,0,0,0,0,0,0,0,0,0,0
75008000,74886000,nan,nan,nan,1,0,0,0,0,0,0,0,0,0,0
75208000,75090000,nan,nan,nan,1,0,0,0,0,0,0,0,0,0,0
75608000,75486000,nan,nan,nan,1,0,0,0,0,0,0,0,0,0,0
76008000,75886000,nan,nan,nan,1,0,0,0,0,0,0,0,0,0,0
76408000,76286000,nan,nan,nan,1,0,0,0,0,0,0,0,0,0,0
76808000,76686000,nan,nan,nan,1,0,0,0,0,0,0,0,0,0,0
77008000,76890000,nan,nan,nan,1,0,0,0,0,0,0,0,0,0,0
77408000,77286000,nan,nan,nan,1,0,0,0,0,0,0,0,0,0,0
77808000,77686000,nan,nan,nan,1,0,0,0,0,0,0,0,0,0,0
78208000,78090000,nan,nan,nan,1,0,0,0,0,0,0,0,0,0,0
78608000,78490000,nan,nan,nan,1,0,0,0,0,0,0,0,0,0,0
79008000,78890000,nan,nan,nan,1,0,0,0,0,0,0,0,0,0,0
79408000,79290000,nan,nan,nan,1,0,0,0,0,0,0,0,0,0,0
79808000,79690000,nan,nan,nan,1,0,0,0,0,0,0,0,0,0,0
80208000,80090000,nan,nan,nan,1,0,0,0,0,0,0,0,0,0,0
80608000,80490000,nan,nan,nan,1,0,0,0,0,0,0,0,0,0,0
81008000,80890000,nan,nan,nan,1,0,0,0,0,0,0,0,0,0,0
81408000,81290000,nan,nan,nan,1,0,0,0,0,0,0,0,0,0,0
81808000,81690000,nan,nan,nan,1,0,0,0,0,0,0,0,0,0,0
82208000,82090000,nan,nan,nan,1,0,0,0,0,0,0,0,0,0,0
82608000,82486000,nan,nan,nan,1,0,0,0,0,0,0,0,0,0,0
83008000,82890000,nan,nan,nan,1,0,0,0,0,0,0,0,0,0,0
83408000,83290000,nan,nan,nan,1,0,0,0,0,0,0,0,0,0,0
83808000,83690000,nan,nan,nan,1,0,0,0,0,0,0,0,0,0,0
84208000,84090000,nan,nan,nan,1,0,0,0,0,0,0,0,0,0,0
84608000,84490000,nan,nan,nan,1,0,0,0,0,0,0,0,0,0,0
84808000,84690000,nan,nan,nan,1,0,0,0,0,0,0,0,0,0,0
85208000,85090000,nan,nan,nan,1,0,0,0,0,0,0,0,0,0,0
85408000,85290000,nan,nan,nan,1,0,0,0,0,0,0,0,0,0,0
85808000,85690000,nan,nan,nan,1,0,0,0,0,0,0,0,0,0,0
86008000,85890000,nan,nan,nan,1,0,0,0,0,0,0,0,0,0,0
86408000,86286000,nan,nan,nan,1,0,0,0,0,0,0,0,0,0,0
